iter	RMSE
0	41.03978782
1	39.76280901
2	38.47454303
3	37.19584401
4	35.97012911
5	34.79370891
6	33.70905972
7	32.55944757
8	31.5733978
9	30.5089944
10	29.48473976
11	28.60827849
12	27.71034015
13	26.78571861
14	25.89800638
15	25.07105971
16	24.29291014
17	23.45112128
18	22.68865747
19	21.99316124
20	21.32331518
21	20.65655915
22	20.05601271
23	19.42814195
24	18.8514519
25	18.22677306
26	17.6278955
27	17.08175586
28	16.54951893
29	16.02918445
30	15.52079941
31	15.08745583
32	14.60414208
33	14.14834955
34	13.68902563
35	13.24945057
36	12.85881795
37	12.47526844
38	12.08579655
39	11.73035409
40	11.36281453
41	11.02099621
42	10.6949946
43	10.3698666
44	10.05837731
45	9.735878116
46	9.445602146
47	9.149753981
48	8.88476261
49	8.614322416
50	8.34505524
51	8.099319344
52	7.883835456
53	7.667622041
54	7.442759944
55	7.222190867
56	7.014887889
57	6.821502698
58	6.639338315
59	6.466399231
60	6.309349633
61	6.127215782
62	5.955508277
63	5.785313063
64	5.635938592
65	5.502019768
66	5.374970734
67	5.231507031
68	5.090603771
69	4.960169477
70	4.824359092
71	4.70752028
72	4.591642581
73	4.482264888
74	4.370794823
75	4.258700522
76	4.147476452
77	4.044404609
78	3.947134412
79	3.849838265
80	3.751103829
81	3.657250241
82	3.567291028
83	3.481800295
84	3.401551806
85	3.329675734
86	3.249220485
87	3.177817478
88	3.101641236
89	3.04390738
90	2.981413267
91	2.923966238
92	2.858485354
93	2.799924921
94	2.739091677
95	2.69085471
96	2.635784192
97	2.582784782
98	2.534988352
99	2.489768098
100	2.445571472
101	2.409331358
102	2.365717428
103	2.3273553
104	2.289116267
105	2.251029603
106	2.222628089
107	2.186428208
108	2.153429605
109	2.119253791
110	2.092822253
111	2.064807163
112	2.031724758
113	1.997987366
114	1.968182665
115	1.939572403
116	1.911466967
117	1.888685376
118	1.86370442
119	1.838210959
120	1.812996593
121	1.790206563
122	1.768986012
123	1.746734335
124	1.726998266
125	1.70655014
126	1.686633662
127	1.668946434
128	1.651781672
129	1.635560032
130	1.618563114
131	1.613441698
132	1.595906087
133	1.578837848
134	1.561491838
135	1.552166247
136	1.544423431
137	1.536250014
138	1.521635201
139	1.507869745
140	1.503088658
141	1.491192599
142	1.479673463
143	1.467816628
144	1.458113729
145	1.453493096
146	1.441574439
147	1.430720779
148	1.426177624
149	1.422081756
150	1.416865267
151	1.408410178
152	1.396421317
153	1.39141422
154	1.385127957
155	1.381284266
156	1.373400769
157	1.368946591
158	1.361837162
159	1.353060491
160	1.34253578
161	1.338842276
162	1.335679254
163	1.333051677
164	1.32616336
165	1.322819321
166	1.319373066
167	1.309730044
168	1.300754576
169	1.293135266
170	1.289872709
171	1.287134524
172	1.278515184
173	1.275933067
174	1.273236529
175	1.27076892
176	1.263199141
177	1.2570816
178	1.252247746
179	1.246456906
180	1.244580519
181	1.242167243
182	1.234236205
183	1.23147482
184	1.227925536
185	1.224091648
186	1.221532071
187	1.219177912
188	1.216370894
189	1.214775596
190	1.206970686
191	1.205086207
192	1.20253372
193	1.197152615
194	1.195280546
195	1.190318071
196	1.188593705
197	1.182113004
198	1.180475359
199	1.178681136
200	1.176780353
201	1.175135372
202	1.173374078
203	1.171241268
204	1.169811668
205	1.168234848
206	1.162639292
207	1.157234597
208	1.155261813
209	1.153521946
210	1.148656401
211	1.14699689
212	1.145633818
213	1.143660514
214	1.142323169
215	1.138765066
216	1.136807081
217	1.135679812
218	1.133311852
219	1.132105993
220	1.130031786
221	1.128683711
222	1.123493385
223	1.12204278
224	1.120316753
225	1.119175622
226	1.118113978
227	1.11704136
228	1.116192146
229	1.115256898
230	1.113888265
231	1.112327491
232	1.106602156
233	1.104147846
234	1.102770187
235	1.101947146
236	1.097423411
237	1.096174765
238	1.09159422
239	1.090797888
240	1.090061084
241	1.084740952
242	1.078958174
243	1.073401579
244	1.072377812
245	1.068241475
246	1.067477906
247	1.063978168
248	1.063075088
249	1.062008814
250	1.061383451
251	1.060394796
252	1.05982181
253	1.056446901
254	1.051262332
255	1.046199956
256	1.044767432
257	1.043796871
258	1.041013835
259	1.039966032
260	1.039441349
261	1.036616178
262	1.033649599
263	1.033118239
264	1.032311653
265	1.031768433
266	1.02920698
267	1.02868505
268	1.028175154
269	1.027703774
270	1.024459187
271	1.023731144
272	1.023256811
273	1.019107445
274	1.016652974
275	1.012129163
276	1.009785048
277	1.008778334
278	1.005531839
279	1.002853263
280	1.002460446
281	1.002054844
282	1.001678348
283	1.001309707
284	0.9988076238
285	0.9961150542
286	0.9920825705
287	0.9916635359
288	0.9895091863
289	0.9871314648
290	0.9839552645
291	0.9823299425
292	0.9817732287
293	0.979847886
294	0.9780687871
295	0.977710762
296	0.9758138672
297	0.9755114537
298	0.9714245817
299	0.9685561357
300	0.9650365443
301	0.9647159675
302	0.9629819592
303	0.9592334243
304	0.9569507302
305	0.9534532931
306	0.9532023404
307	0.9528221726
308	0.9509896341
309	0.9492566547
310	0.9490234656
311	0.9463942248
312	0.9461827521
313	0.9451754145
314	0.9448098812
315	0.9419916896
316	0.9417956223
317	0.9398602363
318	0.9363032342
319	0.9348170144
320	0.9326411543
321	0.9301070156
322	0.92819476
323	0.9247749065
324	0.9235993653
325	0.9207124397
326	0.9184459359
327	0.9154946778
328	0.9125070577
329	0.9090894713
330	0.9076401384
331	0.904900645
332	0.9025189335
333	0.8993902695
334	0.8989683073
335	0.8973791652
336	0.8955469987
337	0.8933038686
338	0.891012282
339	0.8878061563
340	0.8864480141
341	0.8836970305
342	0.8812094816
343	0.8796235997
344	0.8771893703
345	0.874232115
346	0.8716818347
347	0.8688230866
